Company,Day,Date,Title,Apply,Location,Industry,Type,Description
Ipsos,Friday,10/19/2018,NLP Engineer/Scientist (NY or DC),Email,New York,Finance,Full Time,"You can utilize machine learning, neural networks and statistical models to perform Natural Language Processing.
You want to use these skills to forecast the results of the next major election, to provide sense to happening on social media or understanding of consumer trends and opinions.
You are very experienced programming in Python, Java or R.
familiar with tools like spaCy, scikit-learn, NLTK, Mallet, TensorFlow, PyTorch and all the
others that didn&#39;t come up in our Google search.
You have created systems for pattern recognition, sentiment classification, topic extraction, and
demographics categorization and are excited to do so again.
You have experience implementing these systems in a cloud environment, on extremely large
datasets or in stream analytics platforms.
You possess an advanced degree in Computer Science, Computational Linguistics, Machine Learning or related field.
not afraid to get your hands dirty and classify some data.
You are comfortable working with a team of non-NLP Scientists, can explain how things work and what is and is not actually possible."
Holly Lynch for Congress 2020,Friday,10/19/2018,Data Scientist,Email,New York,Government,Full Time, passionate about social justice and governmental reform.
Blue Cross Blue Shield,Friday,10/19/2018,Associate Data Scientist,Website,Chicago,Health,Full Time,"We’re looking for a Data Scientist in our growing Enterprise Analytics area to develop new data science products using machine learning, natural language processing, data visualization techniques, and other forms of advanced analytics.

The Enterprise Analytics team is also a Center of Excellence for data science at Blue Cross and Blue Shield of Illinois, New Mexico, Montana, Oklahoma & Texas. This person will spend approximately a quarter of their time promoting best practices in data science across the enterprise and leading and organizing technical training for the broader community."
Blue Cross Blue Shield,Friday,10/19/2018,Data Scientist,Website,Chicago,Health,Full Time,"We’re looking for a Data Scientist in our growing Enterprise Analytics area to develop new data science products using machine learning, natural language processing, data visualization techniques, and other forms of advanced analytics.

The Enterprise Analytics team is also a Center of Excellence for data science at Blue Cross and Blue Shield of Illinois, New Mexico, Montana, Oklahoma & Texas. This person will spend approximately a quarter of their time promoting best practices in data science across the enterprise and leading and organizing technical training for the broader community."
National Aeronautics and Space Administration(NASA) - Goddard Institute for Space Studies,Friday,10/26/2018,Software Engineer,Website,New York,Government,Full Time,The successful candidate will use Python and relevant data and statistical analysis libraries to update and maintain current projects while also taking on new initiatives. The individual will be responsible for material related to the NASA Goddard Institute for Space Studies (GISS) Temperature Analysis (GISTEMP) and will support local science teams at GISS as well as various educational institutions and government agencies.
Unilever,Friday,10/26/2018,Data Scientist,Email,New York,Technology,Full Time,"Technical depth, operational breadth and demonstrated fluency in applying statistics/data
analytics in scientific research.
Hands-on technical expertise in data management and visualization
Strong technical background in multivariate statistical methods e.g. PCA, PLS and machine learning methods and designing simulations (knowledge of Bayesian Methods a plus).
Good understanding of the underlying principles/best practices to build and validate predictive
models. Relevant experience is a plus.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning,
artificial neural networks, etc.) and their real-world advantages/drawbacks.
Strong expertise in Design and Analysis of Experiments (DOE)
Hands-on experience with professional statistical software such as SAS, R and JMP.
Familiarity with Azure Platform and computer programming skills will be considered a plus.
Eexperience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data
and draw insights from large data sets.
Knowledge of product development processes including packaging and manufacturing
Strong problem-solving skills with focus on business delivery
Strong interpersonal skills; strong oral and written communication skills.
Ability to collaborate and consult effectively in global teams across time-zones and cultures
A drive to learn and master new technologies and techniques
Ability to work with uncertainty and to create and manage change"
Swiss Re,Friday,10/26/2018,Analytics Specialist (Data Scientist),Website,New York,Finance,Full Time,"Masters Degree or PhD in Computer Science, Math, Physics, Engineering, Computational linguistics, Statistics or other technical field.
Analytical & conceptual skills to understand key business needs and design tailored solutions to solve specific business problems.
Proficiency in relational databases and SQL.
Experience with a statistical package such as R, MATLAB, SPSS, SAS and Stata etc.
Experience in at least one scripting or programming language (Python, Perl, Java etc.).
Experience with large data sets and distributed computing (Hive/Hadoop) a plus.
Knowledge and experience in areas such as information retrieval, natural language processing, data analytics and information visualization.
Experience doing quantitative analysis a plus.
Basic understanding of statistical analysis.
2+ years of experience in relevant areas of advanced analysis.
Good Communication Skills.
Ability to communicate complex problems with clarity and effectiveness.
Ability to initiate and drive projects to completion with minimal guidance.
Team leader/player with a ""can do"" attitude.
Ability to adapt to a flexible work environment.
Experience working with financial service or internet companies a plus.
Excellent verbal and written English. Multi-lingual a plus.
Willingness to travel a plus."
Swiss Re,Friday,10/26/2018,Interns@swissre 2019 - Data Scientist Intern ,Website,New York,Finance,Internship," Pursuing a Master's Degree in data science/analytics, computer science, computational linguistics or related field.
Analytical & conceptual skills to understand key business needs and design tailored solutions to solve specific business problems.
Exposure to with relational databases and SQL
Exposure to a statistical package such as R, MATLAB, SPSS, SAS and Stata etc.
Exposure to at least one scripting or programming language (PHP, Python, Perl, Java etc.).
Experience with large data sets and distributed computing (Hive/Hadoop) a plus.
Exposure to cognitive technology
Exposure or experience in areas such as information retrieval, natural language processing, data analytics and information visualization.
Basic understanding of statistical analysis. Ancillary Requirements
Good Communication Skills.
Team leader/player with a ""can do"" attitude.
Ability to adapt to a flexible work environment.
Exceptional academic performance (minimum 3.25 GPA)"
HOVER,Friday,10/26/2018,Multiple Data Roles,Website,San Francisco,Technology,Full Time,"Strong expertise in Python and SQL
Ad-tech or Marketing-tech experience
Experience managing a data warehouse
Experience with orchestration tools such as Airflow or Luigi and data quality frameworks such as dbt
Pluses:
Ruby-on-Rails knowledge to work in our backend codebase
Experience managing pieces of our current toolset of Alooma, Segment, Snowflake and Tableau"
BNP Paribas Group – The Innovation Lab,Tuesday,10/30/2018,Summer Internship,Email,New York,Finance,Internship,"Ability to use mathematical techniques to draw inferences and solve business issues.
Strong technical experience and applied knowledge of traditional machine learning algorithms and deep learning frameworks
Experience in some of the major programming languages (Python, Java…), statistical software (R, Pandas, ..) and data wrangling tools (SQL)
Experience with source control and release management (Git)
Positive, energetic, flexible and self-motivated team player with strong organizational skills
Excellent verbal and written communication skills and proficiency to interact professionally
Very strong work ethic and ability to deal with confidential information"
Deutsche Bank,Tuesday,10/30/2018,Global Markets Graduate Program,Website,New York,Finance,Full Time,"Undergraduate and Masters’ students with less than 12 months’ work experience, graduating between December 2018 and June 2019"
Deutsche Bank,Tuesday,10/30/2018,Global Markets QUANT Graduate Program ,Website,New York,Finance,Full Time,"Undergraduate and Masters’ students with less than 12 months’ work experience, graduating between December 2018 and June 2019"
Deutsche Bank,Tuesday,10/30/2018,Global Markets QUANT Internship  ,Website,New York,Finance,Internship,"Undergraduate and Masters’ students with less than 12 months’ work experience, graduating between December 2018 and June 2019"
Noble Desktop,Thursday,11/1/2018,January Bootcamp Instructor,Website,New York,Technology,Internship,The job will entail teaching a class of 10 undergraduate students Python for Data Science. The course runs from 10am – 5pm on Jan 14-18– with a one hour lunch in Midtown. The job entails teaching the students the basics of Python and moving into Pandas & Matplotlib. Most of the curriculum will be curated for you and there is no grading.
Ianuly Talent Accelerators,Monday,11/5/2018,Data Analyst,Website,New York,Technology,Full Time,"They're a small team, and you'd be the data analyst, so you'd have to be comfortable with that kind of environment, and really comfortable with Python. They also prefer someone who's experienced with people-oriented data."
CNA Corporation,Friday,11/9/2018,Data Scientist,Website,Washington,Technology,Full Time,"Education: Minimum Master’s degree in a relevant field or equivalent experience, PhD preferred.
Experience: Typical minimum requirements 5+ years of experience in research and analysis.
Skills: Skilled in programming, statistics, machine learning, machine learning, and data visualization Ability to work on progressively more difficult projects/analyses, including directing portions of large research projects or small to medium projects under general supervision; Ability to operate independently and proactively in the execution of assignments; Ability to work in a multi-disciplinary environment; Strong critical thinking skills; Knowledge of research techniques; Strong planning and organizational skills; Excellent interpersonal skills; Strong and effective oral and written communication skills; Ability to interact directly and effectively with clients and influence their decisions.
Other: Ability to obtain and maintain an Active Secret Security Clearance."
BARK,Friday,11/9/2018,Data Scientist,Website,New York,Technology,Full Time,"3+ years' experience writing readable code to handle varied and complex data
Breadth of knowledge in statistical concepts and techniques, particularly inference / hypothesis testing
Excellent proficiency in SQL and a high level open-source language such as Python, R, or Scala
Moderate grasp of bash / Linux
Demonstrated aptitude and appetite for picking up new technologies
Sharp analytical mind with attention to detail and nuance
Excellent written and verbal communication and interpersonal skills
Passion for growing and strengthening a business using data driven approaches"
BARK,Friday,11/9/2018,Data Engineer / Data Systems Architect,Website,New York,Technology,Full Time,"Expert in at least one programming language, comfortable with learning new ones
Adept at picking up new technologies and evaluating them against business requirements
Strong experience with traditional relational databases, including writing SQL, schema modeling, performance tuning, and query optimization
Understanding of Data technologies, algorithms, and design patterns
Experience working with Data Frames, with a passion to grow in this area
Comfortable with data structures, distributed systems, and fault tolerant systems design
Excellent grasp of AWS and cloud computing
Self-starter, positive attitude with an emphasis on supporting the team and achieving long term goals"
Urbint,Friday,11/9/2018,Senior Machine Learning Engineer,Website,New York,Technology,Full Time,"Masters in a science (e.g. Biology, Physics) or quantitative discipline (e.g. Statistics, Mathematics, etc.)
5+ years of relevant experience and depth of knowledge via data ­intensive roles
Experience with geospatial data
Experience with applied and scalable ML (e.g. MapReduce, Spark Streaming, Kafka)
You are practiced at linear algebra and mathematics programming for production use
Familiarity with r and/or python libraries (scikit-learn, pandas, and numpy a plus. Bonus points for XGBoost, Tensorflow and/or MxNet)
Proven experience delivering analytics (scoping, modeling, interpreting, presenting)
Comfort with ambiguous problems and undefined solutions
Ability to work on teams and articulate technical solutions"
Child Mind Institute,Friday,11/9/2018,"Data Analyst, Center for Developing Brain",Website,New York,Technology,Full Time,"Bachelors or Master’s degree in computer science, neuroscience, engineering, mathematics, statistics or related areas is preferred
Extensive programming experience in one or more open source languages (e.g., Python, R)
Experience with neuroimaging analysis and proficiency with one or more packages (e.g. FreeSurfer, AFNI, FSL, Workbench or SPM) is a plus, but not required.
A passion for the applying computational methods to understand clinical conditions.
Strong interpersonal skills, as well as strong written and oral communication
Ability to work in a fast-paced environment
Ability to work as a member of a team as well as independently
Passion for CMI mission"
Amazon,Tuesday,11/13/2018,Business Intelligence Engineer,Email,Seattle,Technology,Full Time,"Bachelor’s Degree
1+ years of experience working with large scale cross-functional teams.
1+ years of supply chain or operations project management
Proven proficiency in analytical problem solving (excel)
Basic SQL understanding"
BD,Tuesday,11/13/2018,Healthcare Analytics Consultant - Client Optimization,Email,San Francisco,Technology,Full Time,"Our team is looking for a Healthcare Analytics Consultant that can develop actionable research questions, analyze datasets, define meaningful features, and support the development of an analytics platform. The ideal candidate will be an analytically-driven team player, with excellent attention to detail who wants to explore customer experience improvement opportunities. This position will be responsible for building client-facing custom reports, dashboards, and automate the tracking of client performance during optimization efforts."
John Jay College,Tuesday,11/13/2018,Data Manager,Email,New York,Technology,Full Time,"Applicant must have a PhD and previous experience in the management of large and complex datasets and
with statistical analyses using R, SPSS, Excel, MPlus, SAS, and/or Stata. A person with a Master’s degree
but with extensive experience in data management and statistics will be considered. Past interest in child
maltreatment and/or aging research or willingness to develop this expertise will be given preference."
John Jay College,Tuesday,11/13/2018,PostDoctoral Fellow,Email,New York,Technology,Full Time,"PhD in psychology or related discipline
Expertise in statistical analyses and software (R, SPSS, Excel, MPlus, SAS, and/or Stata)
Established interest in child maltreatment and/or aging
Demonstrated capacity in scholarly research, as evidenced by publications and/or research
experience
Strong written and communication skills"
Bain,Tuesday,11/13/2018,Advanced Analytics Specialist,Website,Boston,Technology,Full Time,"A Master’s Degree or Ph.D. in in a quantitative discipline such as Statistics, Mathematics, Engineering, Computer Science, Econometrics, Business Analytics, or Market Research.  0-3 years work experience, although previous experience in a related field is a plus. 
Strong experience with R, SPSS, and/or SAS, including syntax or scripting languages.
Experience working with SQL and relational databases such as Microsoft SQL Server, Oracle, MySQL or similar databases is a plus.
Knowledge of a variety of statistical and data mining techniques including but not limited to: multivariate and logistic regressions, decision trees (e.g. CHAID/CART), latent class analysis and other clustering techniques, time series analysis, factor analysis, multi-dimensional scaling, and maximum difference scaling (MaxDiff).
The ideal candidate may also have other complimentary skill sets including:
Experience with Alteryx, Tableau, or other advanced analytical tools.
Knowledge of programming languages (e.g., Python, JAVA).
Experience with tools in the Big Data domain (e.g., Spark, NoSQL, Azure/AWS).
Strong analytical, mathematical, interpersonal, and communication skills.
Must thrive in a fast-paced environment and be able to work independently.
Some travel required
Fluent in English
Start date in early or mid 2019"
JPMC,Tuesday,11/13/2018,"Data Scientist Associate, Workforce Analytics",Website,New York,Finance,Full Time,"WFA Advanced Analytics is responsible for leveraging large quantities of people-related data to assist HR executives, business partners, and employees make data-driven decisions. This position will focus largely on machine learning and natural language processing (NLP) applied to large amounts of open-text data from a variety of JPMC-wide sources, including Exit Interview surveys, Employee Opinion surveys, Culture & Conduct surveys, and other employee pulse polls. The Data Scientist will utilize experience exploring data, applying advanced statistical techniques, and designing machine learning algorithms to create innovative products that provide value to the company and its people. S/he will collaborate with HR Technology, Workforce Analytics Data Engineering, and other subject matter experts to build robust data pipelines, and will play a key role in improving the analytics infrastructure for WFA. The Data Scientist will report to the Head of WFA Advanced Analytics and join a highly agile cross-functional team that leads some of the most critical analytics projects in HR, including reporting and analytics deliverables for the firm-wide and HR Operating Committees."
Two Sigma,Tuesday,11/13/2018,Quantitative Researcher – Summer Internship,Website,New York,Finance,Internship,"Are pursuing a degree in a technical or quantitative disciplines, like statistics, mathematics, physics, electrical engineering, or computer science with approximately one year remaining in your programs (all levels welcome, from bachelor’s to doctorate) 
Demonstrate intermediate skills in at least one programming language (like C, C++, Java, or Python)
Performed an in-depth research project, examining real-world data
Are an independent thinker who can creatively approach data analysis and  communicate complex ideas clearly"
Mercer,Tuesday,11/13/2018,Workforce Strategy and Analytics – Senior Analyst,Email,New York,Finance,Full Time,"Master’s in economics, I-O or related psychology or labor relations, statistics or data science related field;
PhDs with strong quantitative backgrounds will be also be considered for more senior roles
Demonstrable record of conducting complex empirical analyses
Exceptional analytical and problem-solving skills
Exceptional statistical background, especially in multiple regression analysis and inferential statistics
Expert in working with large data sets
Self-direction and self-motivation (must be able to work without supervision)
Solid interpersonal skills - ability to work closely with other team members and handle sensitive client
interactions is crucial
Supervisory or training experience is highly valued"
Consensys,Wednesday,11/21/2018,4 Month Research Role,Email,New York,Technology,Internship,"The research role will also lean on and prioritize the properties of verifiability, soundness, unrecastability, convenience, fairness and anonymity. The hardest property to attain is usually Uncoercibility in combination with the other properties, which we may not be able to attain given the very nature of our current technical approach.

 

The background of the researcher should be academic in nature and generally familiar with complex maths and computer science, with some general knowledge of game theory and cryptographic systems such as blockchains."
Cardano,Wednesday,11/21/2018,Fellowships,Email,New York,Finance,Internship,"Throughout the residency period, the selected fellows will work with SOSV and EMURGO leadership, publish regular updates on their progress, participate in events, and receive access to development resources, mentors and program partners. We’ll work with fellows early on in the process to establish goals, and make sure they’re getting the help and support they need to be successful. In addition to the core topic that the fellowship is exploring, fellows will also be expected to explore areas of overlap and work with resident accelerator companies."
Bell Labs,Wednesday,11/21/2018,Part-Time Coop Intern – Spring 2019,Email,New York,Technology,Internship,"We are looking for a part-time co-op intern to work on a project related to ‘Smart Data Discovery’ (SDD). The tool incorporates recent research work in the area of automated machine learning.  We are looking for somebody who is hands on, preferably have some background in statistics, to help us with improving the tool from various aspects (GUI / user interaction). The duration is 4 months from Jan 1, 2019, and 20 hours a week. Hourly pay is around 33~35$. We are located in Murray Hill, NJ. Traveling to site 2 days a week is not required, but preferred. "
Bank of America Merrill Lynch,Wednesday,11/21/2018,Summer Associates,Website,New York,Finance,Internship,"Candidates are required to be pursuing a graduate degree (Masters or Ph.D.) from an accredited college or university with a
graduation timeframe between December 2019 and June 2020 in a field of Quantitative Finance, Financial Engineering, or a
related technical field that blends advanced quantitative methods with finance and economics
Knowledge of financial derivatives including futures and options and their underlying pricing models
Experience in managing and analyzing large data sets with advanced statistical techniques; machine learning is a plus
Knowledge of Python or R and Excel
Distinguished written and verbal communications skills and an ability to communicate complex ideas clearly and concisely to
non-technical individuals
Ability to work independently and drive toward a completed end product
Strong attention to detail; exercise strong quality control over own work
A passion and curiosity appropriate for research combined with an ability to rapidly drive results under uncertainty"
 Emadri.com,Tuesday,11/27/2018,Intern,Email,New York,Ecommerce,Internship,"You have a passion for data science! We want candidates who love data science and are
excited about what they do.
Pursuing a MS or PhD in Statistics, Data Science, Machine Learning or a related
quantitative discipline. Applicants must have successfully completed at least 2 semesters.
Fluency with SQL and Python for data analysis (e.g., pandas, numpy, sklearn, ...)
Solid understanding and experience with statistical inference and predictive analytics.
Enthusiasm for clean code and sharing reproducible results.
Able to work independently and share results with leadership in regular review meetings.
Communication skills (written and oral) to work with partners on engineering, product
and business teams.
An eye for great data visualization (e.g., matplotlib, seaborn, plotly, ggplot, Tableau, etc.)
For paid internships, candidates must be authorized to work in the US. For volunteering
opportunities to gain industry experience and come up with creative, data-driven business
insights and solutions of your own, reach out to us as well."
Micsense,Tuesday,11/27/2018,Machine Learning & Signal Processing Expert,Email,New York,Health,Full Time,"micsense is currently looking for a machine learning and signal processing expert, with a sound understanding of audio, entrepreneurial energy and the desire to help millions of people to breath/feel better, to join this journey."
Walmart Technology - Global Business Solutions,Thursday,11/29/2018,Data Scientist – Full Time,Email,Arkansas,Ecommerce,Full Time,"Looking for a Summer internship for 2019 where you can gain valuable real life experience, while working for the world’s largest retailer?  Walmart Corporate is seeking one intern to join the other 400+ interns this Summer.  During this 10 week period, you’ll get to work alongside industry leaders on their real-time projects, while gaining experience that will help you jumpstart your career. What’s more, it’s a paid internship, with paid relocation, and housing provided for the Summer.  And, if things go well, we’ll offer you a full time job so that you can go back to campus, finish your degree, and come to work for us full time when you finish. This position is out of our headquarters in Northwest Arkansas, and most of the full time conversion opportunities would be based there as well.  This internship specifically would be on Juan Carlos Segura’s technology team, working on driving innovation across the company by using technology.  He is looking for a Master’s student studying data science."
Walmart Technology - Global Business Solutions,Thursday,11/29/2018,Data Science Summer Intern,Email,Arkansas,Ecommerce,Internship,"Juan Carlos Segura, a senior manager of technology, is looking for a passionate Master’s student to join his team! This student can be graduating in December 2018 or May 2019, but must be willing to relocate to Northwest Arkansas to work out of our global headquarters.  Interested in using retail data to shape business decisions across the company?  As a part of the GBS (Global Business Solutions) team, you’ll be able to use data to help influence the rest of the company and we continue to strive to help people save money, so that they can live better."
